# Table S1 Coseismic displacements at the GPS sites. First column shows the ID number. The second and third columns show the location of the reference GPS site, while the fourth and fifth columns show the location of the observation GPS site. EW is east-west, NS is north-south, and UD is up-down components in m. Error is described in Methods. 
# ID  Latitude(ref)  Longitude(ref)  Latitude  Longitude  EW (m)  NS (m)  UD (m)  
5  32.6694  128.8431  36.2008  138.0592  0.183  0.0339  0.0026  
6  32.6694  128.8431  40.8344  140.8105  0.2474  -0.2827  0.0045  
7  32.6694  128.8431  37.3618  140.3244  1.4001  -0.0876  -0.1014  
9  32.6694  128.8431  35.4527  138.762  0.1133  0.0346  -0.0147  
10  32.6694  128.8431  35.3837  138.7116  0.1021  0.0327  -0.0024  
57  32.6694  128.8431  41.7406  140.9293  0.0844  -0.1297  0.001  
58  32.6694  128.8431  41.7113  140.535  0.0998  -0.1316  0.0044  
59  32.6694  128.8431  41.4662  141.0945  0.112  -0.1625  -0.0041  
60  32.6694  128.8431  41.1997  140.9838  0.1548  -0.203  0.0062  
61  32.6694  128.8431  41.1609  141.3857  0.146  -0.2086  0.0001  
62  32.6694  128.8431  41.1217  140.2935  0.1879  -0.1998  0.002  
63  32.6694  128.8431  40.7306  140.011  0.2719  -0.2418  0.0173  
64  32.6694  128.8431  40.58  141.106  0.3291  -0.3755  -0.0049  
65  32.6694  128.8431  40.5088  141.332  0.3642  -0.4233  -0.0073  
66  32.6694  128.8431  40.4476  140.9416  0.3996  -0.4202  0.0007  
67  32.6694  128.8431  40.271  141.4849  0.5077  -0.5465  -0.0161  
68  32.6694  128.8431  40.1067  141.0465  0.6101  -0.5918  0.0027  
69  32.6694  128.8431  39.971  141.6622  0.8265  -0.7676  -0.069  
70  32.6694  128.8431  39.5545  140.8363  1.129  -0.7776  -0.0074  
71  32.6694  128.8431  39.4647  141.293  1.5864  -1.1042  -0.0836  
72  32.6694  128.8431  39.2354  141.3117  2.144  -1.2827  -0.1743  
73  32.6694  128.8431  39.0121  141.4008  2.9184  -1.4979  -0.3277  
74  32.6694  128.8431  38.9955  141.1485  2.4351  -1.1875  -0.1956  
75  32.6694  128.8431  38.934  140.8332  1.9927  -0.8988  -0.0922  
76  32.6694  128.8431  38.7432  141.3179  3.4927  -1.448  -0.451  
77  32.6694  128.8431  38.6861  141.0043  2.7576  -1.0292  -0.1997  
78  32.6694  128.8431  38.6606  141.1607  3.286  -1.2452  -0.316  
79  32.6694  128.8431  38.5718  140.7277  2.2188  -0.7059  -0.1236  
80  32.6694  128.8431  38.5098  141.3044  4.0189  -1.3518  -0.6111  
81  32.6694  128.8431  38.1771  140.9437  3.012  -0.6568  -0.2787  
82  32.6694  128.8431  37.8246  140.7277  2.3095  -0.3056  -0.2094  
83  32.6694  128.8431  40.3394  140.0276  0.389  -0.3011  0.024  
84  32.6694  128.8431  40.1833  140.4082  0.5016  -0.4012  0.0121  
85  32.6694  128.8431  40.0997  140.0055  0.4882  -0.3425  0.0301  
86  32.6694  128.8431  39.9214  140.5359  0.6839  -0.5026  0.0184  
87  32.6694  128.8431  39.5276  140.0539  0.7992  -0.4395  0.0315  
88  32.6694  128.8431  39.5081  140.5961  1.0481  -0.639  0.0057  
89  32.6694  128.8431  39.2967  140.2789  1.0497  -0.5341  0.0174  
90  32.6694  128.8431  39.1462  140.715  1.5511  -0.8206  -0.0639  
91  32.6694  128.8431  39.0544  140.4473  1.3638  -0.61  -0.0347  
92  32.6694  128.8431  38.9381  140.1835  1.2357  -0.4874  -0.0202  
93  32.6694  128.8431  38.7522  140.4973  1.7231  -0.5876  -0.0929  
94  32.6694  128.8431  38.7012  139.6745  0.9496  -0.282  0.029  
95  32.6694  128.8431  38.6284  140.2205  1.4569  -0.4249  -0.0293  
96  32.6694  128.8431  38.1704  140.3939  1.8404  -0.344  -0.1191  
97  32.6694  128.8431  37.9206  139.8794  1.1428  -0.1353  -0.0343  
98  32.6694  128.8431  37.8335  140.4468  1.8048  -0.1875  -0.0867  
99  32.6694  128.8431  37.6693  139.9727  1.1762  -0.0871  -0.0448  
100  32.6694  128.8431  37.5911  140.5717  1.8705  -0.1814  -0.157  
101  32.6694  128.8431  37.4613  139.8355  0.9974  -0.0432  -0.0342  
102  32.6694  128.8431  37.4449  140.464  1.5853  -0.071  -0.1953  
103  32.6694  128.8431  37.3262  139.6864  0.8534  -0.0128  -0.0379  
104  32.6694  128.8431  37.293  140.2127  1.2386  -0.0478  -0.0883  
105  32.6694  128.8431  37.2106  140.451  1.4518  -0.1219  -0.1547  
106  32.6694  128.8431  37.1831  140.716  1.7233  -0.235  -0.3235  
107  32.6694  128.8431  37.0236  140.3763  1.2587  -0.0901  -0.1623  
108  32.6694  128.8431  36.9326  140.6901  1.5184  -0.2009  -0.3668  
109  32.6694  128.8431  36.4759  140.3857  0.9103  -0.0392  -0.1974  
110  32.6694  128.8431  37.1247  140.0354  0.9955  -0.011  -0.0569  
111  32.6694  128.8431  36.8723  139.5053  0.6133  0.0399  -0.0276  
112  32.6694  128.8431  36.5376  139.7528  0.5765  0.0454  -0.0382  
113  32.6694  128.8431  36.4566  139.9025  0.6002  0.0379  -0.0711  
114  32.6694  128.8431  36.8374  139.0608  0.455  0.0369  -0.0071  
115  32.6694  128.8431  36.5914  138.8479  0.3448  0.0404  0.0025  
116  32.6694  128.8431  36.3954  139.0167  0.3309  0.0506  -0.004  
117  32.6694  128.8431  36.2677  139.2546  0.3453  0.0568  -0.0266  



118  32.6694  128.8431  36.2003  138.703  0.2416  0.0456  -0.0047  
119  32.6694  128.8431  35.9299  138.9261  0.2097  0.047  -0.0253  
120  32.6694  128.8431  35.1438  139.9685  0.0675  0.0135  -0.0439  
121  32.6694  128.8431  35.3915  139.3661  0.1236  0.0334  -0.0169  
122  32.6694  128.8431  37.5403  139.1114  0.6366  -0.0228  0.0148  
123  32.6694  128.8431  37.2121  138.6346  0.4214  0.0095  0.0132  
124  32.6694  128.8431  37.1576  139.2471  0.5967  0.0052  -0.0206  
125  32.6694  128.8431  37.1071  138.4574  0.363  0.0164  -0.0025  
126  32.6694  128.8431  36.779  140.2965  1.0236  -0.0446  -0.1671  
140  32.6694  128.8431  35.9049  138.4442  0.1693  0.0452  -0.0115  
141  32.6694  128.8431  35.7539  138.95  0.1782  0.0457  -0.0112  
142  32.6694  128.8431  35.4677  138.6069  0.1096  0.0348  -0.0184  
143  32.6694  128.8431  36.8567  138.6242  0.3613  0.0249  -0.0076  
144  32.6694  128.8431  36.7067  138.0967  0.2478  0.0269  0.0001  
145  32.6694  128.8431  36.5236  138.1209  0.2296  0.0334  -0.001  
146  32.6694  128.8431  36.261  138.366  0.2153  0.0409  -0.0003  
148  32.6694  128.8431  35.8784  138.0957  0.141  0.0311  -0.0086  
254  32.6694  128.8431  35.3608  138.7273  0.1023  0.0318  -0.0143  
257  32.6694  128.8431  36.1056  140.0871  0.5138  0.0514  -0.0861  
266  32.6694  128.8431  40.8975  140.8592  0.2306  -0.2722  0.003  
267  32.6694  128.8431  39.9421  139.7035  0.4906  -0.296  0.0356  
268  32.6694  128.8431  38.5633  139.546  0.9063  -0.227  0.0175  
269  32.6694  128.8431  35.1294  140.2494  0.0543  0.0028  -0.0446  
270  32.6694  128.8431  35.1602  139.6155  0.0775  0.0194  -0.031  
271  32.6694  128.8431  37.8148  138.2812  0.4062  -0.037  0.0211  
272  32.6694  128.8431  37.3565  138.5085  0.4087  -0.0017  0.0122  
299  32.6694  128.8431  35.3221  138.1858  0.091  0.0201  -0.0122  
330  32.6694  128.8431  36.38  138.4779  0.2503  0.0438  -0.0037  
349  32.6694  128.8431  38.9019  141.2832  2.999  -1.4029  -0.2971  
353  32.6694  128.8431  36.4448  138.4884  0.2611  0.0412  0.0087  
354  32.6694  128.8431  36.4239  138.5764  0.2723  0.0455  -0.0085  
363  32.6694  128.8431  36.1041  140.0873  0.508  0.0517  -0.0894  
373  32.6694  128.8431  38.5112  139.5338  0.9071  -0.2194  0.0248  
374  32.6694  128.8431  36.6023  139.2762  0.4471  0.0513  -0.0143  
379  32.6694  128.8431  40.7945  141.3992  0.2351  -0.3048  -0.0073  
380  32.6694  128.8431  36.7086  140.7195  1.3406  -0.1903  -0.4141  



387  32.6694  128.8431  35.758  139.6445  0.2496  0.056  -0.0505  
389  32.6694  128.8431  41.834  141.1422  0.0719  -0.1149  -0.0066  
391  32.6694  128.8431  40.5752  140.295  0.3298  -0.299  0.0203  
392  32.6694  128.8431  40.9212  140.9902  0.2181  -0.2692  0.0024  
398  32.6694  128.8431  35.0069  139.082  0.0564  0.0199  -0.0283  
400  32.6694  128.8431  36.1061  140.0872  0.5156  0.0529  -0.0964  
401  32.6694  128.8431  36.2952  139.5423  0.4208  0.0603  -0.0399  
402  32.6694  128.8431  36.2633  140.1743  0.6455  0.0272  -0.1164  
403  32.6694  128.8431  36.2037  139.8105  0.4646  0.0568  -0.0435  
404  32.6694  128.8431  36.1813  140.5445  0.8291  -0.0393  -0.2408  
405  32.6694  128.8431  36.121  139.3452  0.3118  0.0554  -0.0112  
406  32.6694  128.8431  36.0969  140.3432  0.6252  0.026  -0.1527  
407  32.6694  128.8431  36.0872  139.6367  0.3697  0.0589  -0.0446  
408  32.6694  128.8431  36.0109  139.7999  0.383  0.0642  -0.0595  
409  32.6694  128.8431  35.9554  140.6592  0.6869  -0.0011  -0.2643  
410  32.6694  128.8431  35.9704  140.403  0.5511  0.0395  -0.155  
411  32.6694  128.8431  35.9255  139.4643  0.2753  0.055  -0.0234  
412  32.6694  128.8431  35.9403  139.9927  0.3968  0.0602  -0.0739  
413  32.6694  128.8431  35.9375  139.6519  0.3133  0.0595  -0.0462  
414  32.6694  128.8431  35.8736  140.1455  0.3995  0.0571  -0.0966  
415  32.6694  128.8431  35.8033  140.407  0.4072  0.0513  -0.1182  
416  32.6694  128.8431  35.7802  139.8128  0.2815  0.0561  -0.0539  
417  32.6694  128.8431  35.7865  140.0248  0.3208  0.0593  -0.0803  
