# From Baek 2012.
#
# Supporting Information 
# Table S1. Coseismic displacements of GPS stations by the 2011 Tohoku earthquakes. 
#   Horizontal components (East, North) are displayed with their uncertainties. 
#   Asterisks denote IGS stations. 
#
# Station  Longitude (deg)  Latitude (deg)  East (mm)  North (mm)  
BHAO  128.976  36.164  2.73 +/- 0.13  0.41 +/- 0.16  
*DAEJ  127.374  36.399  2.16 +/- 0.13  0.26 +/- 0.13  
JEJU  126.462  33.288  1.13 +/- 0.13  0.29 +/- 0.16  
MKPO  126.381  34.817  1.52 +/- 0.11  0.27 +/- 0.14  
MLYN  128.744  35.491  2.35 +/- 0.12  0.39 +/- 0.15  
SBAO  128.457  36.934  2.84 +/- 0.16  0.13 +/- 0.18  
SKCH  128.565  38.251  3.31 +/- 0.20  -0.01 +/- 0.16  
SKMA  126.918  37.494  2.35 +/- 0.11  0.12 +/- 0.13  
KOHG  127.519  34.454  1.53 +/- 0.14  0.35 +/- 0.13  
*BJFS  115.892  39.609  0.69 +/- 0.13  -0.01 +/- 0.15  
*WUHN  114.357  30.532  0.20 +/- 0.15  0.02 +/- 0.15  
*STK2  141.845  43.529  1.49 +/- 0.12  -2.51 +/- 0.17  
*KHAJ  135.046  48.521  0.76 +/- 0.12  -1.12 +/- 0.13  
*KUNM  102.797  25.030  -0.10 +/- 0.19  -0.15 +/- 0.18  
ANHN  126.135  36.674  1.65 +/- 0.17  0.21 +/- 0.15  
CCHN  127.715  37.994  2.78 +/- 0.14  0.12 +/- 0.18  
DANG  126.603  34.098  1.28 +/- 0.18  0.32 +/- 0.16  
DOKD  131.870  37.239  5.37 +/- 0.11  0.39 +/- 0.13  
EOCH  125.968  36.125  1.77 +/- 0.16  0.24 +/- 0.14  
GASA  126.043  34.461  1.25 +/- 0.16  0.26 +/- 0.12  
GEOM  127.322  34.008  1.52 +/- 0.13  0.30 +/- 0.16  
HGDO  125.204  34.711  1.23 +/- 0.19  0.17 +/- 0.15  
HOMI  129.567  36.078  2.87 +/- 0.14  0.44 +/- 0.15  
JEOJ  128.399  38.552  3.03 +/- 0.17  -0.13 +/- 0.17  
JUKB  129.429  37.058  3.19 +/- 0.17  0.25 +/- 0.15  
JUMN  128.834  37.898  3.27 +/- 0.15  0.03 +/- 0.14  
MARA  126.269  33.117  1.01 +/- 0.12  0.28 +/- 0.14  
MLDO  126.315  35.858  1.74 +/- 0.15  0.20 +/- 0.13  
MOOJ  127.583  35.903  2.07 +/- 0.14  0.31 +/- 0.14  
PYCH  128.488  37.350  3.01 +/- 0.19  0.11 +/- 0.17  
SEOI  128.738  34.788  1.86 +/- 0.15  0.48 +/- 0.15  
SOCH  124.729  37.760  1.66 +/- 0.12  0.11 +/- 0.14  
SOHE  125.099  34.095  1.14 +/- 0.17  0.27 +/- 0.16  
SORI  127.801  34.412  1.50 +/- 0.18  0.36 +/- 0.14  
*SUWN  127.054  37.276  2.33 +/- 0.13  0.18 +/- 0.15  
ULLE  130.798  37.518  4.66 +/- 0.18  0.19 +/- 0.16  
YNDO  129.071  35.062  2.22 +/- 0.12  0.63 +/- 0.11  
BOEN  127.730  36.488  2.38 +/- 0.12  0.30 +/- 0.13  
CHCN  127.711  37.869  2.51 +/- 0.38  0.12 +/- 0.22  
CHEN  127.155  36.878  2.04 +/- 0.16  0.09 +/- 0.17  
CHJU  126.530  33.514  1.16 +/- 0.14  0.48 +/- 0.16  
CHLW  127.415  38.164  2.51 +/- 0.11  0.02 +/- 0.16  
CHNG  128.478  35.533  2.26 +/- 0.09  0.48 +/- 0.11  
CHSG  129.056  36.436  2.77 +/- 0.15  0.43 +/- 0.13  
CHWN  128.693  35.236  2.00 +/- 0.15  0.58 +/- 0.16  
CHYG  126.801  36.459  2.01 +/- 0.12  0.29 +/- 0.16  
CNJU  127.461  36.627  2.23 +/- 0.12  0.32 +/- 0.15  
DOND  127.061  37.902  2.41 +/- 0.11  0.11 +/- 0.14  
GOCH  127.943  35.668  2.24 +/- 0.17  0.44 +/- 0.17  
GSAN  127.787  36.816  2.55 +/- 0.12  0.22 +/- 0.16  
HADG  127.709  35.162  1.83 +/- 0.20  0.40 +/- 0.16  
HONC  128.194  37.709  2.87 +/- 0.15  0.21 +/- 0.13  
INCH  126.686  37.420  2.12 +/- 0.14  0.16 +/- 0.17  
INJE  128.171  38.069  3.05 +/- 0.22  -0.09 +/- 0.31  
JAHG  126.900  34.675  1.61 +/- 0.14  0.55 +/- 0.17  
JINJ  128.050  35.173  1.94 +/- 0.10  0.41 +/- 0.13  
JUNG  126.974  35.623  1.85 +/- 0.14  0.39 +/- 0.12  
JUNJ  127.135  35.843  1.90 +/- 0.11  0.33 +/- 0.14  
KANR  128.868  37.771  3.31 +/- 0.16  0.10 +/- 0.15  
KUNW  128.574  36.233  2.77 +/- 0.19  0.37 +/- 0.15  
KWNJ  126.910  35.178  1.94 +/- 0.16  0.26 +/- 0.16  
MUJU  127.661  36.003  2.11 +/- 0.11  0.39 +/- 0.13  
NAMW  127.396  35.423  1.90 +/- 0.12  0.40 +/- 0.13  
NONS  127.099  36.186  2.04 +/- 0.11  0.37 +/- 0.14  
PAJU  126.738  37.746  2.22 +/- 0.11  0.09 +/- 0.13  
SEOS  126.494  36.776  1.97 +/- 0.10  0.23 +/- 0.11  
SNJU  128.144  36.379  2.35 +/- 0.14  0.33 +/- 0.14  
SONC  127.486  34.957  1.72 +/- 0.13  0.43 +/- 0.14  
SOUL  127.080  37.630  2.34 +/- 0.12  0.07 +/- 0.13  
TABK  128.976  37.161  3.09 +/- 0.29  0.24 +/- 0.18  
TEGN  128.802  35.906  2.48 +/- 0.14  0.42 +/- 0.14  
WNJU  127.947  37.337  2.60 +/- 0.11  0.23 +/- 0.12  
WOLS  129.416  35.504  2.58 +/- 0.14  0.58 +/- 0.14  
WULJ  129.413  36.992  3.24 +/- 0.13  0.29 +/- 0.12  
YANP  127.506  37.454  2.70 +/- 0.12  0.12 +/- 0.13  
YECH  128.446  36.651  2.52 +/- 0.12  0.33 +/- 0.14  
YONK  126.516  35.279  1.52 +/- 0.16  0.18 +/- 0.15  
YOWL  128.462  37.183  2.85 +/- 0.11  0.11 +/- 0.13  
*SHAO  121.200  31.100  0.62 +/- 0.11  0.17 +/- 0.14  
*CHAN  125.444  43.791  1.81 +/- 0.13  -0.70 +/- 0.14  
*AIRA  130.600  31.824  1.06 +/- 0.20  0.43 +/- 0.18  
*USUD  138.362  36.133  22.44 +/- 0.26  4.92 +/- 0.25  
*TSKB  140.087  36.106  56.36 +/- 0.16  4.85 +/- 0.14  
*MIZU  141.133  39.135  226.42 +/- 0.35  -122.22 +/- 0.26  

